Song,Lyrics
Bed Chem,"Oh, it just makes sense"
Bed Chem,How you talk so sweet when you're doin' bad things
Bed Chem,That's bed  chem 
Bed Chem,"How you're lookin' at me, yeah, I know what that means"
Bed Chem,And I'm obsessed
Bed Chem,Are you free next week?
Bed Chem,I bet we'd have really good
Bed Chem,"Come right on me, I mean camaraderie"
Bed Chem,"Said you're not in my time zone, but you wanna be"
Bed Chem,Where art thou? Why not uponeth me?
Bed Chem,"See it in my mind, let's fulfill the prophecy"
Bed Chem,Ooh 
Bed Chem,Who's the cute guy with the wide blue eyes and the big bad mm? Like
Bed Chem,Ooh 
Bed Chem,I know I sound a bit redundant
Bed Chem,But I bet we'd have really good bed chem
Bed Chem,"How you pick me up, pull 'em down, turn me 'round"
Bed Chem,"Oh, it just makes sense "
Bed Chem,How you talk so sweet when you're doin' bad things 
Bed Chem,That's bed chem 
Bed Chem,"How you're lookin' at me, yeah, I know what that means"
Bed Chem,And I'm obsessed 
Bed Chem,Are you free next week?
Bed Chem,I bet we'd have really good 
Bed Chem,And I bet we'd both arrive at the same time 
Bed Chem,And I bet the thermostat's set at six-nine 
Bed Chem,And I bet it's even better than in my head 
Bed Chem,"How you pick me up, pull 'em down, turn me 'round "
Bed Chem,"Oh, it just makes sense "
Bed Chem,How you talk so sweet when you're doin' bad things
Bed Chem,That's bed chem 
Bed Chem,"How you're lookin' at me, yeah, I know what that means"
Bed Chem,And I'm obsessed 
Bed Chem,Are you free next week? 
Bed Chem,I bet we'd have really good
Bed Chem,Ha 
Bed Chem,", ha"
Bed Chem,No-no-no
Bed Chem,Ha 
Bed Chem,", ha"
Bed Chem,"No-no-no, no, oh no, oh"
Bed Chem,Ha 
Bed Chem,", ha "
Bed Chem,"No-no-no, oh"
Bed Chem,Ha 
Bed Chem,", ha"
Bed Chem,"Ooh, oh, baby"
Juno,Don't have to tell your hot ass a thing
Juno,"Oh yeah, you just get it"
Juno,"Whole package, babe, I like the way you fit"
Juno,"God bless your dad's genetics, mm, uh"
Juno,You make me wanna make you fall in love
Juno,"Oh, late at night, I'm thinking 'bout you, ah-ah"
Juno,Wanna try out my fuzzy pink handcuffs?
Juno,"Oh, I hear you knockin', baby, come on up"
Juno,I know you want my touch for life
Juno,"If you love me right, then who knows?"
Juno,I might let you make me Juno
Juno,You know I just might
Juno,Let you lock me down tonight
Juno,"One of me is cute, but two though?"
Juno,"Give it to me, baby"
Juno,You make me wanna make you fall in love 
Juno,"I showed my friends, then we high-fived "
Juno,Sorry if you feel objеctified 
Juno,"Can't help myself, hormonеs are high"
Juno,Give me more than just some butterflies
Juno,You make me wanna make you fall in love
Juno,"Oh, late at night, I'm thinking 'bout you, ah-ah"
Juno,Wanna try out some freaky positions?
Juno,Have you ever tried this one?
Juno,I know you want my touch for life
Juno,"If you love me right, then who knows?"
Juno,I might let you make me Juno
Juno,You know I just might
Juno,Let you lock me down tonight
Juno,"One of me is cute, but two though?"
Juno,"Give it to me, baby"
Juno,You make me wanna make you fall in love
Juno,Adore me
Juno,Hold me and explore me
Juno,Mark your territory 
Juno,"Tell me I'm the only, only, only, only one "
Juno,Adore me
Juno,Hold me and explore me 
Juno,I'm so fuckin' horny
Juno,"Tell me I'm the only, only, only, only one"
Juno,Ah
Juno,Ooh-ooh
Juno, I know you want my touch for life
Juno,"If you love me right, then who knows?"
Juno,I might let you make me Juno
Juno,You know I just might 
Juno,Let you lock me down tonight
Juno,"One of me is cute, but two though?"
Juno,"Give it to me, baby"
Juno,You make me wanna make you fall in love
Taste,"Oh, I leave quite an impression"
Taste,Five feet to be exact
Taste,You're wonderin' why half his clothes went missin'
Taste,My body's where they're at
Taste,"Now I'm gone, but you're still layin'"
Taste,"Next to me, one degree of separation"
Taste,I heard you're back together and if that's true
Taste,You'll just have to taste me when he's kissin' you
Taste,"If you want forever, and I bet you do"
Taste,Just know you'll taste me too
Taste,Uh-huh
Taste,He pins you down on the carpet
Taste,Makes paintings with his tongue
Taste, 
Taste,"Hе's funny now, all his jokes hit different"
Taste,Guеss who he learned that from?
Taste,"Now I'm gone, but you're still layin'"
Taste,"Next to me, one degree of separation"
Taste,I heard you're back together and if that's true
Taste,You'll just have to taste me when he's kissin' you
Taste,"If you want forever, and I bet you do "
Taste,Just know you'll taste me too
Taste,La-la-la-la-la-la-la
Taste,Every time you close your eyes
Taste,"And feel his lips, you're feelin' mine"
Taste,And every time you breathe his air
Taste,Just know I was already there
Taste,You can have him if you like
Taste,"I've been there, done that once or twice"
Taste,And singin' 'bout it don't mean I care
Taste,"Yeah, I know I've been known to share"
Taste,"Well, I heard you're back together and if that's true"
Taste,You'll just have to taste me when he's kissin' you
Taste,"If you want forever, and I bet you do "
Taste,Just know you'll taste me too
Taste,"Taste me too, ow "
Taste,You'll just have to taste me when he's kissin' you
Taste,"You, no, yeah, ah-ah "
Taste,You'll just have to taste me when he's kissin' you
Espresso,"Now he's thinkin' 'bout me every night, oh"
Espresso,Is it that sweet? I guess so
Espresso,"Say you can't sleep, baby, I know"
Espresso,That's that me espresso
Espresso,"Move it up, down, left, right, oh"
Espresso,Switch it up like Nintendo
Espresso,"Say you can't sleep, baby, I know"
Espresso,That's that me espresso
Espresso,I can't relate to desperation
Espresso,My give-a-fucks are on vacation
Espresso,And I got this one boy and he won't stop calling
Espresso,"When they act this way, I know I got 'em"
Espresso, Too bad your ex don't do it for ya
Espresso, Walked in and dream-came-trued it for ya
Espresso, Soft skin and I perfumed it for ya
Espresso, I know I Mountain Dew it for ya
Espresso," That morning coffee, brewed it for ya"
Espresso, One touch and I brand-newed it for ya 
Espresso,"And now he's thinkin' 'bout me every night, oh"
Espresso,Is it that sweet? I guess so
Espresso,"Say you can't sleep, baby, I know"
Espresso,That's that me espresso
Espresso,"Move it up, down, left, right, oh"
Espresso,Switch it up like Nintendo
Espresso,"Say you can't sleep, baby, I know"
Espresso,That's that me espresso
Espresso,Holy shit
Espresso,Is it that sweet? I guess so 
Espresso,I'm working late 'cause I'm a singer
Espresso,"Oh, he looks so cute wrapped 'round my finger"
Espresso,My twisted humor make him laugh so often
Espresso,"My honeybee, come and get this pollen"
Espresso, Too bad your ex don't do it for ya
Espresso, Walked in and dream-came-trued it for ya
Espresso, Soft skin and I perfumed it for ya 
Espresso, I know I Mountain Dew it for ya
Espresso," That morning coffee, brewed it for ya"
Espresso, One touch and I brand-newed it for ya 
Espresso,"Now he's thinkin' 'bout me every night, oh"
Espresso,Is it that sweet? I guess so
Espresso,"Say you can't sleep, baby, I know"
Espresso,That's that me espresso
Espresso,"Move it up, down, left, right, oh"
Espresso,Switch it up like Nintendo
Espresso,"Say you can't sleep, baby, I know"
Espresso,That's that me espresso 
Espresso,"Thinkin' 'bout me every night, oh"
Espresso,Is it that sweet? I guess so 
Espresso,"Say you can't sleep, baby, I know"
Espresso,That's that me espresso 
Espresso,"Move it up, down, left, right, oh "
Espresso,Switch it up like Nintendo 
Espresso,"Say you can't sleep, baby, I know"
Espresso,That's that me espresso
Espresso,Is it that sweet? I guess so
Espresso,"Mm, that's that me espresso"
Skin,Maybe we could've been friends
Skin,If I met you in another life
Skin,Maybe then we could pretend
Skin,There's no gravity in the words we write
Skin,Maybe you didn't mean it
Skin,"Maybe ""blonde"" was the only rhyme"
Skin,The only rhyme
Skin,"Want my heart to be breakin', breakin', no"
Skin,"I'm happy and you hate it, hate it, oh"
Skin,And I'm not asking you to let it go
Skin,But you been tellin' your side
Skin,"So I'll be tellin' mine, oh"
Skin,You can try
Skin,"To get under my, under my, under my skin"
Skin,While hе's on mine
Skin,"Yeah, all on my, all on my, all on my skin"
Skin,I wish you knew that еven you
Skin,Can't get under my skin if I don't let you in
Skin,You're tellin' it how you see it
Skin,Like truth is whatever you decide
Skin,Some people will believe it
Skin,And some will read in between the lines
Skin,You're putting me in the spotlight
Skin,But I've been under it all my life
Skin,Said all my life
Skin,"Want my heart to be breakin', breakin', no"
Skin,"I'm happy and you hate it, hate it, oh"
Skin,And I'm not asking you to let it go
Skin,But you been tellin' your side
Skin,So I'll be tellin' mine 
Skin,You can try
Skin,"To get under my, under my, under my skin"
Skin,While he's on mine
Skin,"Yeah, all on my, all on my, all on my skin"
Skin,I wish you knew that even you
Skin,"Can't get under my skin if I don't let you in, oh"
Skin,You can try
Skin,"To get under my, under my, under my skin"
Skin,While he's on mine
Skin,"Yeah, all on my, all on my, all on my skin"
Skin,I wish you knew that even you
Skin,"Can't get under my skin if I don't let you in, oh"
Skin,I just hope that one day
Skin,We both can laugh about it
Skin,When it's not in our face
Skin,Won't have to dance around it
Skin,Don't drive yourself insane
Skin,It won't always be this way
Skin,You can try
Skin,"To get under my, under my, under my skin"
Skin,While he's on mine
Skin,"Yeah, all on my, all on my, all on my skin"
Skin,I wish you knew that even you
Skin,Can't get under my skin if I don't let you in
Good Graces,"Oh, mm"
Good Graces,Mm
Good Graces,"When I love you, I'm sweet like an angel"
Good Graces,Drawin' hearts 'round our names
Good Graces,"And dreamin' of writing vows, rockin' cradles"
Good Graces,Don't mistake my nice for naive
Good Graces,"I don't waste a second, I know lots of guys"
Good Graces,"You do somethin' suspect, this cute ass bye-bye"
Good Graces,"Like, ooh"
Good Graces,"Baby, you say you really like it being mine?"
Good Graces,So let me give you some advice
Good Graces,"Boy, it's not that complicated"
Good Graces,You should stay in my good graces
Good Graces,Or I'll switch it up like that so fast
Good Graces,'Cause no one's more amazin'
Good Graces,At turnin' lovin' into hatred
Good Graces,"Boy, it's not that complicated"
Good Graces,You should stay in my good graces
Good Graces,Or I'll switch it up like that  so fast 
Good Graces,'Cause no one's more amazin'
Good Graces,At turnin' lovin' into hatred
Good Graces,I won't give a fuck about you
Good Graces,I won't give a fuck about you
Good Graces,I won't give a fuck about you
Good Graces,That was cool
Good Graces,I won't give a fuck about you 
Good Graces,I won't give a fuck about you
Good Graces,I won't give a fuck about you
Good Graces,Yeah
Good Graces,I'll tell the world you finish your chores prematurely
Good Graces,Break my heart and I swear I'm movin' on
Good Graces,With your favorite athlete
Good Graces,Shoot his shot every night
Good Graces,"Want you every second, don't need other guys"
Good Graces,"You do somethin' sus, kiss my cute ass bye"
Good Graces,"Boy, it's not that complicated"
Good Graces,You should stay in my good graces 
Good Graces,Or I'll switch it up like that so fast
Good Graces,'Cause no one's more amazin' 
Good Graces,At turnin' lovin' into hatred
Good Graces,"Boy, it's not that complicated "
Good Graces,You should stay in my good graces 
Good Graces,Or I'll switch it up like that  so fast 
Good Graces,'Cause no one's more amazin'
Good Graces,At turnin' lovin' into hatred
Good Graces,I won't give a fuck about you
Good Graces,I won't give a fuck about you
Good Graces,I won't give a fuck about you
Good Graces,"Oh, no"
Good Graces,I won't give a fuck about you 
Good Graces,I won't give a fuck about you
Good Graces,I won't give a fuck about you
Good Graces,Oh
Good Graces,"No, I won't"
Good Graces,"I won't give a fuck about you, no, I won't"
Good Graces,"No, I won't"
Good Graces,"I won't give a fuck about you, no, I won't"
Slim Pickins,Guess I'll end this life alone
Slim Pickins,I am not dramatic
Slim Pickins,These are just the thoughts that pass right through me
Slim Pickins,All the douchebags in my phone
Slim Pickins,Play 'em like a slot machine
Slim Pickins,"If they're winnin', I'm just losin'"
Slim Pickins,A boy who's jacked and kind
Slim Pickins,Can't find his ass to save my life
Slim Pickins,"Oh, it's slim pickings"
Slim Pickins,If I can't have the one I love
Slim Pickins,I guess it's you that I'll be kissin'
Slim Pickins,Just to get my fixings
Slim Pickins,Since the good ones are deceased or taken
Slim Pickins,I'll just keep on moanin' and bitchin'
Slim Pickins,Ah-ah-ah-ah
Slim Pickins,Ah-ah-ah-ah
Slim Pickins,"Jesus, what's a girl to do?"
Slim Pickins,This boy doesn't even know
Slim Pickins,"The difference between ""there,"" ""their"" and ""they are"""
Slim Pickins,Yet he's naked in my room
Slim Pickins,Missin' all the things he's missin'
Slim Pickins,God knows that he isn't livin' large
Slim Pickins,A boy who's nice that breathes
Slim Pickins,I swear he's nowhere to be seen
Slim Pickins,It's slim pickings
Slim Pickins,If I can't have the one I love
Slim Pickins,I guess it's you that I'll be kissin'
Slim Pickins,Just to get my fixings
Slim Pickins,Since the good ones are deceased or taken
Slim Pickins,I'll just keep on moanin' and bitchin'
Slim Pickins,Moanin' and bitchin'
Slim Pickins,Since the good ones call their exes wasted
Slim Pickins,And since the Lord forgot my gay awakenin'
Slim Pickins,Then I'll just be here in the kitchen
Slim Pickins,Servin' up some moanin' and bitchin'
Sharpest Tool,I know you're not
Sharpest Tool,The sharpest tool in the shed
Sharpest Tool,"We had sex, I met your best friends"
Sharpest Tool,Then a bird flies by and you forget
Sharpest Tool,I don't hear a word
Sharpest Tool,'Til your guilt creeps in
Sharpest Tool,"On a Tuesday, send a soft ""hey"""
Sharpest Tool,As if you really don't recall the time
Sharpest Tool,"We were goin' right, then you took a left"
Sharpest Tool,Left me with a lot of shit to second-guess
Sharpest Tool,Guess I'll waste another year on wonderin' if
Sharpest Tool,"If that was casual, then I'm an idiot"
Sharpest Tool,I'm lookin' for an answer in-between the lines
Sharpest Tool,Lyin' to yourself if you think we'rе fine
Sharpest Tool,"You're confused and I'm upsеt, but"
Sharpest Tool,We never talk about it
Sharpest Tool,We never talk about it
Sharpest Tool,We never talk about it
Sharpest Tool,"All the silence just makes it worse, really"
Sharpest Tool,'Cause it leaves you so top-of-mind for me
Sharpest Tool,All the silence is just your strategy
Sharpest Tool,'Cause it leaves you so top-of-mind for me
Sharpest Tool,We never talk about how you
Sharpest Tool,"Found God at your ex's house, always"
Sharpest Tool,Made sure that the phone was face-down
Sharpest Tool,"Seems like overnight, I'm just the bitch you hate now"
Sharpest Tool,We never talk it through
Sharpest Tool,How you guilt-tripped me to open up to you
Sharpest Tool,Then you logged out
Sharpest Tool,", leavin' me dumbfounded, oh-oh"
Sharpest Tool,"We were goin' right, then you took a left"
Sharpest Tool,Left me with a lot of shit to second-guess
Sharpest Tool,Guess I'll waste another year on wonderin' if
Sharpest Tool,"If that was casual, then I'm an idiot"
Sharpest Tool,I'm lookin' for an answer in-between the lines
Sharpest Tool,Lyin' to yourself if you think we're fine
Sharpest Tool,"You're confused and I'm upset, but"
Sharpest Tool,We never talk about it 
Sharpest Tool,We never talk about it 
Sharpest Tool,We never talk about it 
Sharpest Tool,We never talk about how you
Sharpest Tool,"Found God at your ex's house, always"
Sharpest Tool,Made sure that the phone was face-down
Sharpest Tool,"Seems like overnight, "
Sharpest Tool,I'm just the bitch you hate now
Sharpest Tool,We never talk it through
Sharpest Tool,How you guilt-tripped me to open up to you
Sharpest Tool,"Then you logged out, leavin' me dumbfounded, oh-oh"
Sharpest Tool,We don't talk about it
Sharpest Tool,", we don't talk about it "
Sharpest Tool,"We don't talk about it, talk, talk, talk about it "
Sharpest Tool,"We don't talk about it, we don't talk about it "
Sharpest Tool,"We don't talk about it, we don't talk about it"
Dumb And Poetic,You're so dumb and poetic
Dumb And Poetic,"It's just what I fall for, I like the aesthetic"
Dumb And Poetic,"Every self-help book, you've already read it"
Dumb And Poetic,Cherry-pick lines like they're words you invented
Dumb And Poetic,Gold star for highbrow manipulation
Dumb And Poetic,"And ""love everyone"" is your favorite quotation"
Dumb And Poetic,Try to come off like you're soft and well-spoken
Dumb And Poetic,Jack off to lyrics by Leonard Cohen
Dumb And Poetic,Don't think you understand
Dumb And Poetic,Just 'cause you talk like one doesn't make you a man
Dumb And Poetic,You're so sad there's no communication
Dumb And Poetic,"But, baby, you put us in this situation"
Dumb And Poetic,You're running so fast from the hearts that you're breakin'
Dumb And Poetic,Save all your breath for your floor meditation
Dumb And Poetic,"You're so empathetic, you'd make a great wife"
Dumb And Poetic,And I promise the mushrooms aren't changing your life
Dumb And Poetic,"Well, you crashed the car and abandoned the wreckage"
Dumb And Poetic,Fuck with my head like it's some kind of fetish
Dumb And Poetic,Don't think you understand
Dumb And Poetic,Just 'cause you act like one doesn't make you a man
Dumb And Poetic,Don't think you understand
Dumb And Poetic,Just 'cause you leave like one doesn't make you a man
Please Please Please Radio Edit,"I know I have good judgment, I know I have good taste"
Please Please Please Radio Edit,It's funny and it's ironic that only I feel that way
Please Please Please Radio Edit,I promise 'em that you're different and everyone makes mistakes
Please Please Please Radio Edit,But just don't
Please Please Please Radio Edit,"I heard that you're an actor, so act like a stand-up guy"
Please Please Please Radio Edit,"Whatever devil's inside you, don't let him out tonight"
Please Please Please Radio Edit,I tell them it's just your culture and everyone rolls their eyes
Please Please Please Radio Edit,"Yeah, I know"
Please Please Please Radio Edit,"All I'm asking, baby"
Please Please Please Radio Edit,"Please, please, please"
Please Please Please Radio Edit,Don't prove I'm right
Please Please Please Radio Edit,"And please, pleasе, please"
Please Please Please Radio Edit,Don't bring me to tеars when I just did my makeup so nice
Please Please Please Radio Edit,"Heartbreak is one thing, my ego's another"
Please Please Please Radio Edit,"I beg you, don't embarrass me, little sucker, oh"
Please Please Please Radio Edit,"Please, please, please "
Please Please Please Radio Edit,"Well, I have a fun idea, babe , maybe just stay inside"
Please Please Please Radio Edit,"I know you're cravin' some fresh air, but the ceiling fan is so nice "
Please Please Please Radio Edit,And we could live so happily if no one knows that you're with me
Please Please Please Radio Edit,"I'm just kidding, but really , really, really"
Please Please Please Radio Edit,"Please, please, please "
Please Please Please Radio Edit,Don't prove I'm right
Please Please Please Radio Edit,"And please, please, please"
Please Please Please Radio Edit,Don't bring me to tears when I just did my makeup so nice
Please Please Please Radio Edit,"Heartbreak is one thing , my ego's another "
Please Please Please Radio Edit,"I beg you, don't embarrass me, little sucker, oh"
Please Please Please Radio Edit,"Please, please, please "
Please Please Please Radio Edit,If you wanna go and be stupid
Please Please Please Radio Edit,Don't do it in front of me
Please Please Please Radio Edit,If you don't wanna cry to my music
Please Please Please Radio Edit,Don't make me hate you prolifically
Please Please Please Radio Edit,"Please, please, please "
Please Please Please Radio Edit,"Please, please, please "
Please Please Please Radio Edit,"Please , please , please"
Coincidence,(
Coincidence,"One, two, a-one, two, three, woo"
Coincidence,)
Coincidence,The second I put my head on your chest
Coincidence,"She knew, she's got a real sixth sense"
Coincidence,"Now her name comes up once, then it comes up twice"
Coincidence,"And without her even bein' here, she's back in your life"
Coincidence,Now she's in the same damn city on the same damn night
Coincidence,And you've lost all your common sense
Coincidence,What a coincidence
Coincidence,"Oh, na-na, na-na-na-na"
Coincidence,"Oh, na-na, na-na-na-na"
Coincidence,"Last week, you didn't have any doubts"
Coincidence,"This week, you're holdin' space for her tongue in your mouth"
Coincidence,Now shе's sendin' you some pictures wеarin' less and less
Coincidence,"Tryna turn the past into the present tense, huh"
Coincidence,Suckin' up to all of your mutual friends
Coincidence,And you've lost all your common sense 
Coincidence,"The way you told me the truth, minus seven percent "
Coincidence,"What a coincidence, uh"
Coincidence,"Oh, na-na, na-na-na-na"
Coincidence,"Oh, na-na, na-na-na-na"
Coincidence,"Na-na-na-na, na-na-na-na"
Coincidence,"Na-na-na-na, na-na-na-na"
Coincidence,"What a surprise, your phone just died"
Coincidence,Your car drove itself from L.A. to her thighs
Coincidence,"Palm Springs looks nice, but who's by your side?"
Coincidence,"Damn it, she looks kinda like the girl you outgrew"
Coincidence,Least that's what you said 
Coincidence,What a coincidence
Coincidence,"Oh  wow, you just broke up again"
Coincidence,What a coincidence
Coincidence,"Oh, na-na, na-na-na-na "
Coincidence,"Oh, na-na, na-na-na-na "
Coincidence,"Na-na-na-na, na-na-na-na "
Coincidence,"Na-na-na-na, na-na-na-na "
Dont Smile,"Don't smile because it happened, baby"
Dont Smile,Cry because it's over
Dont Smile,"Oh, you're supposed to think about me"
Dont Smile,Every time you hold her
Dont Smile,"My heart is heavy now, it's like a hundred pounds"
Dont Smile,It's fallin' faster than the way you love to shut me down
Dont Smile,"I think I need a shower, my friends are takin' shots"
Dont Smile,"You think it's happy hour, for me, it's not"
Dont Smile,"Don't smile because it happened, baby"
Dont Smile,Cry because it's over
Dont Smile,"Oh, you're supposed to think about me"
Dont Smile,Every time you hold her
Dont Smile,"Don't smile becausе it happened, baby"
Dont Smile,Cry becausе it's over
Dont Smile,"Oh, you're supposed to think about me"
Dont Smile,Every time you hold her
Dont Smile,Pour my feelings in the microphone
Dont Smile,"I stay in, and when the girls come home"
Dont Smile,I want one of them to take my phone
Dont Smile,Take my phone and lose your
Dont Smile,"Number, I don't wanna be tempted"
Dont Smile,Pick up when you wanna fall back in
Dont Smile,"You can fake it, but you know I know"
Dont Smile,Know I know
Dont Smile,"Don't smile because it happened, baby "
Dont Smile,Cry because it's over 
Dont Smile,"Oh, you're supposed to think about me"
Dont Smile,Every time you hold her 
Dont Smile,"Don't smile because it happened, baby"
Dont Smile,Cry because it's over 
Dont Smile,"Oh, you're supposed to think about me"
Dont Smile,Every time you hold her
Lie To Girls,Don't swear on your mom
Lie To Girls,That it's the first drink that you've had in like a month
Lie To Girls,"No, don't say it was just"
Lie To Girls,An isolated incident that happened once
Lie To Girls,There's no need to pretend
Lie To Girls,I've never seen an ugly truth that I can't bend
Lie To Girls,To something that looks better
Lie To Girls,"I'm stupid, but I'm clever"
Lie To Girls,"Yeah, I can make a shitshow look a whole lot like forever and ever"
Lie To Girls,You don't have to lie to girls
Lie To Girls,"If they like you, they'll just lie to themselves"
Lie To Girls,"Like you, they'll just lie to themselves"
Lie To Girls,You don't have to lie to girls
Lie To Girls,"If they like you, they'll just lie to themselves"
Lie To Girls,Don't I know it better than anyone else?
Lie To Girls,All of your best excuses
Lie To Girls,"No, they don't stand a chance"
Lie To Girls,Against all the chances I give you
Lie To Girls,"Isn't ideal, but damn"
Lie To Girls,You don't even have to try
Lie To Girls,Turn you into a good guy
Lie To Girls,You don't have to lift a finger
Lie To Girls,It's lucky for you I'm just like
Lie To Girls,My mother 
Lie To Girls,All my 
Lie To Girls,The girl outside the strip club getting her tarot cards read
Lie To Girls,"We love to read the cold, hard facts and swear they're incorrect"
Lie To Girls,We love to mistake butterflies for cardiac arrest
Lie To Girls,You don't have to lie to girls
Lie To Girls,"If they like you, they'll just lie to themselves"
Lie To Girls,"Like you, they'll just lie to themselves"
Lie To Girls,You don't have  to lie to girls 
Lie To Girls,"If they like you, they'll just lie to themselves"
Lie To Girls,Don't I know it better than anyone else?
Lie To Girls,Girls will cry and girls will lie and
Lie To Girls,Girls will do it 'til they die for you
Lie To Girls,They'll cry and girls will lie and
Lie To Girls,Do it 'til the day they die for you 
Lie To Girls,Girls will cry and girls will lie and 
Lie To Girls,Girls will lose their goddamn minds for you 
Lie To Girls,They'll cry and girls will lie and
Lie To Girls,Do it 'til the day they die for you
Busy Woman,Oh
Busy Woman,"I'm so mature, collected and sensible"
Busy Woman,Except when I get hit with rejection
Busy Woman,"To turn me down, well, that's just unethical"
Busy Woman,I'll turn into someone you're scared to know
Busy Woman,But if you need my love
Busy Woman,"My clothes are off, I'm comin' over to your place"
Busy Woman,And if you don't need  my love
Busy Woman,"Well, I didn't want your little bitch-ass anyway"
Busy Woman,"Yeah, I'm a busy woman"
Busy Woman,I wouldn't let you come into my calendar any night
Busy Woman,But if you want my kisses
Busy Woman,I'll be your perfect Mrs. 'til the day that one of us dies 
Busy Woman,"Busy woman, all the time"
Busy Woman,Busy woman
Busy Woman,So much to shave and lipstick to reapply
Busy Woman,"Maybe for you, though, I could accommodate"
Busy Woman,"I'm flexible, so just tell me what you like"
Busy Woman,"Tantric yoga, baby, namaste"
Busy Woman,"If you don't want me, I'll just deem you gay"
Busy Woman,But if you need my love
Busy Woman,"My clothes are off, I'm comin' over to your place "
Busy Woman,And if you don't need  my love
Busy Woman,"Well, I didn't want your little bitch-ass anyway"
Busy Woman,"Yeah, I'm a busy woman"
Busy Woman,I wouldn't let you come into my calendar any night
Busy Woman,But if you want my kisses
Busy Woman,I'll be your perfect Mrs. 'til the day that one of us dies
Busy Woman,"Busy woman, all the time"
Busy Woman,Busy woman for the rest of my life
Busy Woman,My openings are super tight
Busy Woman,"Busy woman, unless you call tonight"
Busy Woman,Night 
Busy Woman,Ooh
Busy Woman,But if you need my love
Busy Woman,"My clothes are off, I'm comin' over to your place "
Busy Woman,And if you don't need  my love 
Busy Woman,"Well, I didn't want your little bitch-ass anyway"
Busy Woman,'Cause I'm a busy woman 
Busy Woman,I wouldn't let you come into my calendar any night
Busy Woman,But if you want my kisses
Busy Woman,I'll be your perfect Mrs. 'til the day that one of us dies
Thumbs,"Somewhere in the world, there is a father and a mother"
Thumbs,And the father is a son who has a mother
Thumbs,The mother has a daughter who gets married to the brother of a mother
Thumbs,And they all just tryna multiply with one another
Thumbs,'Cause that's just the way of the world
Thumbs,"It never ends 'til the end, then you start again"
Thumbs,That's just the way of the world
Thumbs,That's just the way of the world
Thumbs,"Somewhere in the world, they think they're working for themselves"
Thumbs,They get up every day to go to work for someone else
Thumbs,"And somebody works for them, and so they think they got it made"
Thumbs,But they're all just working to get paid the very same
Thumbs,And so they keep on twiddlin' them thumbs
Thumbs,Skiddly-dee-dat-dum 
Thumbs,They gonna keep on twiddlin' them thumbs
Thumbs,Skiddly-dee-dat-dum-dum 
Thumbs,And so they keep on twiddlin' them thumbs
Thumbs,Skiddly-dee-dat-dum 
Thumbs,They gonna keep on twiddlin' them thumbs
Thumbs,Skiddly-dee-dat-dum-dum 
Thumbs,"Somewhere in the world, you got a robber and a bank"
Thumbs,"And the bank robbed the people, so the people rob the bank"
Thumbs,"And the police came to get him, but they let him get away"
Thumbs,'Cause they're all just working to get paid the very same
Thumbs,'Cause that's just the way of the world
Thumbs,"It never ends 'til the end, then you start again "
Thumbs,That's just the way of the world
Thumbs,That's just the way of the world
Thumbs,And so they keep on twiddlin' them thumbs
Thumbs,Skiddly-dee-dat-dum 
Thumbs,They gonna keep on twiddlin' them thumbs
